School,City,State,Zip,Latitude,Longitude,Team_id
Florida A&M,Tallahassee,Florida,32301,30.4286,-84.2593,1197
Florida Atlantic,Boca Raton,Florida,33427,26.376,-80.1072,1194
Florida Gulf Coast,Fort Myers,Florida,33900,26.6306,-81.8506,1195
Florida International,Miami,Florida,33101,25.7791,-80.1978,1198
Florida State,Tallahassee,Florida,32301,30.4286,-84.2593,1199
Fordham,Bronx,New York,10400,40.849,-73.8772,1120
Furman,Greenville,South Carolina,29601,34.8472,-82.406,1202
Gardner-Webb,Boiling Springs,North Carolina,28017,35.2549,-81.6914,1205
George Mason,Fairfax,Virginia,22030,38.8458,-77.3242,1206
George Washington,Washington,District of Columbia,20001,38.9122,-77.0177,1203
Georgetown,Washington,District of Columbia,20001,38.9122,-77.0177,1207
Georgia,Athens,Georgia,30601,33.9761,-83.3632,1208
Georgia Institute of Technology,Atlanta,Georgia,30301,33.8444,-84.474,1209
Georgia Southern,Statesboro,Georgia,30458,32.4408,-81.774,1204
Georgia State,Atlanta,Georgia,30301,33.8444,-84.474,1209
Georgia Tech,Atlanta,Georgia,30332,33.774677,-84.397980,1210
Gonzaga,Spokane,Washington,99201,47.6665,-117.4365,1211
Grambling State,Grambling,Louisiana,71245,32.5244,-92.7158,1212
Hampton,Hampton,Virginia,23630,37.0727,-76.3899,1214
Hartford,West Hartford,Connecticut,6117,41.802023,-72.716552,1216
Harvard,Cambridge,Massachusetts,2138,42.368417,-71.125235,1217
Hawaii ,Honolulu,Hawaii,96801,24.8598,-168.0218,1218
High Point,High Point,North Carolina,27260,35.954,-79.9884,1219
Hofstra,Hempstead,New York,11549,40.7172,-73.6027,1220
Holy Cross,Worcester,Massachusetts,1601,42.2653,-71.8794,1221
Houston,Houston,Texas,77001,29.8131,-95.3098,1222
Houston Baptist,Houston,Texas,77001,29.8131,-95.3098,1223
Howard,Washington,District of Columbia,20001,38.9122,-77.0177,1224
Idaho,Moscow,Idaho,83843,46.7309,-116.9897,1225
Idaho State,Pocatello,Idaho,83201,42.8876,-112.4381,1226
Illinois Chicago,Chicago,Illinois,60290,41.9613,-87.8849,1227
Illinois State,Normal,Illinois,61761,40.5124,-88.9883,1229
Illinois Urbana Champaign,Urbana-Champaign,Illinois,61801,40.10123,-88.227269,1228
Indiana Bloomington,Bloomington,Indiana,47401,39.1401,-86.5083,1231
Indiana State,Terre Haute,Indiana,47801,39.4336,-87.4101,1232
Indiana Purdue Fort Wayne,Fort Wayne,Indiana,46801,41.0938,-85.0707,1236
Indiana Purdue Indianapolis,Indianapolis,Indiana,46201,39.775,-86.1093,1237
Iona College,New Rochelle,New York,10801,40.9166,-73.7877,1233
Iowa,Iowa City,Iowa,52240,41.6355,-91.5016,1234
Iowa State,Ames,Iowa,50010,42.0379,-93.6003,1235
Jackson State,Jackson,Mississippi,39200,32.3205,-90.2076,1238
Jacksonville,Jacksonville,Florida,32099,30.3375,-81.7686,1239
Jacksonville State,Jacksonville,Alabama,36265,33.831,-85.7752,1240
James Madison,Harrisonburg,Virginia,22801,38.4489,-78.8714,1241
Kansas,Lawrence,Kansas,66044,39.0289,-95.2086,1242
Kansas State,Manhattan,Kansas,66502,39.1938,-96.5858,1243
Kennesaw State,Kennesaw,Georgia,30144,34.0287,-84.6047,1244
Kent State,Kent,Ohio,44240,41.1449,-81.3498,1245
Kentucky,Lexington,Kentucky,40501,38.0378,-84.6164,1246
La Salle,Philadelphia,Pennsylvania,19019,40.0018,-75.1179,1247
Lafayette College,Easton,Pennsylvania,18040,40.7449,-75.2217,1248
Lamar,Beaumont,Texas,77701,30.0688,-94.1039,1249
Lehigh,Bethlehem,Pennsylvania,18015,40.6002,-75.3805,1250
Liberty,Lynchburg,Virginia,24501,37.353,-79.1557,1251
Lipscomb,Nashville,Tennessee,37201,36.1657,-86.7781,1252
Long Island-Brooklyn,Brooklyn,New York,11201,40.694,-73.9903,1134
Longwood,Farmville,Virginia,23901,37.3027,-78.4076,1255
Louisiana Lafayette,Lafayette,Louisiana,70501,30.2361,-92.0083,1418
Louisiana Monroe,Monroe,Louisiana,71201,32.5286,-92.1061,1419
Louisiana State,Baton Rouge,Louisiana,70801,30.4492,-91.1856,1256
Louisiana Tech,Ruston,Louisiana,71270,32.5308,-92.6439,1261
Louisville,Louisville,Kentucky,40201,38.189,-85.6768,1257
Loyola Chicago,Chicago,Illinois,60290,41.9613,-87.8849,1259
Loyola Maryland,Baltimore,Maryland,21201,39.2946,-76.6252,1259
Loyola Marymount,Los Angeles,California,90001,33.9731,-118.2479,1258
Maine,Orono,Maine,4469,45.0028,-68.6334,1263
Manhattan College,Riverdale,New York,10471,40.890771,-73.900698,1264
Marist College,Poughkeepsie,New York,12600,41.6952,-73.9108,1265
Marquette,Milwaukee,Wisconsin,53201,43.0113,-87.9584,1266
Marshall,Huntington,West Virginia,25701,38.4097,-82.4423,1267
Maryland Baltimore County,Catonsville,Maryland,21228,39.2782,-76.7401,1420
Maryland College Park,College Park,Maryland,20740,38.9963,-76.9299,1268
Maryland Eastern Shore,Princess Anne,Maryland,21853,38.1919,-75.7072,1271
Massachusetts Amherst,Amherst,Massachusetts,1002,42.3671,-72.4646,1269
McNeese State,Lake Charles,Louisiana,70601,30.2285,-93.188,1270
Memphis,Memphis,Tennessee,37501,35.1693,-89.9904,1272
Mercer,Macon,Georgia,31201,32.8095,-83.6168,1273
Miami,Coral Gables,Florida,33146,25.721585,-80.276806,1274
Miami,Oxford,Ohio,45056,39.4792,-84.6858,1275
Michigan,Ann Arbor,Michigan,48103,42.2794,-83.784,1276
Michigan State,East Lansing,Michigan,48823,42.7388,-84.4764,1277
