Year,Player,High School,team
2013,Wayne Selden,"Tilton School (Tilton, NH)"
2013,Noah Vonleh,"New Hampton School (New Hampton, NH)"
2013,Chris Walker,"Holmes County (Bonifay, FL)"
2013,Andrew Wiggins,"Huntington St. Joseph Prep (Huntington, WV)"
2013,Nigel Williams-Goss,"Findlay College Prep (Henderson, NV)"
2013,James Young,"Rochester (Rochester Hills, MI)"
2013,Kyle Anderson,"Saint Anthony's (Fairview, NJ)"
2012,Brandon Ashley,"Findlay College Prep (Henderson, NV)"
2012,Isaiah Austin,"Grace Preparatory Academy (Arlington, TX)"
2012,Anthony Bennett,"Findlay College Prep (Henderson, NV)"
2012,DaJuan Coleman,"DeWitt (Dewitt, NY)"
2012,Kris Dunn,"New London (New London, CT)"
2012,Perry Ellis,"Wichita Heights (Wichita, KS)"
2012,Yogi Ferrell,"Park Tudor School (Greenfield, IN)"
2012,Archie Goodwin,"Sylvan Hills (Sherwood, AR)"
2012,Shaquille Goodwin,"Southwest DeKalb (Decatur, GA)"
2012,Gary Harris,"Hamilton Southeastern (Indianapolis, IN)"
2012,Amile Jefferson,"Friends' Central School (Wynnewood, PA)"
2012,Grant Jerrett,"Lutheran (La Verne, CA)"
2012,Tyler Lewis,"Oak Hill Academy (Statesville, NC)"
2012,Shabazz Muhammad,"Bishop Gorman (Las Vegas, NV)"
2012,Marcus Paige,"Linn-Mar (Marion, IA)"
2012,Tony Parker,"Miller Grove (Lithonia, GA)"
2012,Devonta Pollard,"Kemper County (De Kalb, MS)"
2012,Alex Poythress,"Northeast (Clarksville, TN)"
2012,Rodney Purvis,"Upper Room Christian Academy (Raleigh, NC)"
2012,Cameron Ridley,"Bush (Fort Bend, TX)"
2012,Marcus Smart,"Marcus (Flower Mound, TX)"
2012,Rasheed Sulaimon,"Strake Jesuit College Preparatory (Houston, TX)"
2012,T.J. Warren,"Brewster Academy (Durham, NC)"
2012,Bradley Beal,"Chaminade College Preparatory School (St. Louis, MO)"
2011,Chane Behanan,"Bowling Green (Bowling Green, KY)"
2011,Khem Birch,"Notre Dame Preparatory School (Fitchburg, MA)"
2011,Wayne Blackshear,"Morgan Park (Chicago, IL)"
2011,Kentavious Caldwell-Pope,"Greenville (Greenville, GA)"
2011,Michael Carter-Williams,"St. Andrew's School (Barrington, RI)"
2011,Rakeem Christmas,"Academy of the New Church (Philadelphia, PA)"
2011,Quinn Cook,"Oak Hill Academy (Hyattsville, MD)"
2011,Anthony Davis,"Perspectives Charter School (Chicago, IL)"
2011,Branden Dawson,"Lew Wallace (Gary, IN)"
2011,P.J. Hairston,"Hargrave Military Academy (Greensboro, NC)"
2011,Myck Kabongo,"Findlay College Prep (Henderson, NV)"
2011,Michael Kidd-Gilchrist,"Saint Patrick (Elizabeth, NJ)"
2011,James Michael McAdoo,"Norfolk Christian (Norfolk, VA)"
2011,LeBryan Nash,"Lincoln (Dallas, TX)"
2011,Johnny O'Bryant,"East Side (Cleveland, MS)"
2011,Marshall Plumlee,"Christ School (Warsaw, IN)"
2011,Austin Rivers,"Winter Park (Winter Park, FL)"
2011,Shannon Scott,"Milton (Alpharetta, GA)"
2011,Marquis Teague,"Pike (Indianapolis, IN)"
2011,Adonis Thomas,"Melrose (Memphis, TN)"
2011,Amir Williams,"Detroit Country Day School (Birmingham, MI)"
2011,Kyle Wiltjer,"Jesuit (Portland, OR)"
2011,Cody Zeller,"Washington (Washington, IN)"
2011,Keith Appling,"Pershing (Detroit, MI)"
2010,Harrison Barnes,"Ames (Ames, IA)"
2010,Reggie Bullock,"Kinston (Kinston, NC)"
2010,Tobias Harris,"Half Hollow Hills (Dix Hills, NY)"
2010,Kyrie Irving,"Saint Patrick (Elizabeth, NJ)"
2010,Joe Jackson,"White Station (Memphis, TN)"
2010,Perry Jones,"Duncanville (Duncanville, TX)"
2010,Terrence Jones,"Jefferson (Portland, OR)"
