Year,Player,High School,team
1998,Frank Williams,"Manual (Peoria, IL)"
1998,Vincent Yarbrough,"Cleveland (Cleveland, TN)"
1998,Korleone Young,"Hargrave Military Academy (Chatham, VA)"
1998,Ray Young,"Saint Joseph of Notre Dame (Alameda, CA)"
1997,Shane Battier,"Detroit Country Day School (Beverly Hills, MI)"
1997,Elton Brand,"Peekskill (Peekskill, NY)"
1997,Chris Burgess,"Woodbridge (Woodbridge, CA)"
1997,Eric Chenowith,"Villa Park (Villa Park, CA)"
1997,Jarron Collins,"Harvard-Westlake School (North Hollywood, CA)"
1997,Jason Collins,"Harvard-Westlake School (North Hollywood, CA)"
1997,Baron Davis,"Crossroads (Santa Monica, CA)"
1997,Khalid El-Amin,"North Community (Minneapolis, MN)"
1997,Melvin Ely,"Thornton Township (Harvey, IL)"
1997,Marcus Fizer,"Arcadia (Arcadia, LA)"
1997,Dion Glover,"Cedar Grove (Ellenwood, GA)"
1997,Kenny Gregory,"Independence (Columbus, OH)"
1997,Marcus Griffin,"Manual (Peoria, IL)"
1997,Tony Harris,"East (Memphis, TN)"
1997,Brendan Haywood,"Dudley (Greensboro, NC)"
1997,Larry Hughes,"Christian Brothers College (St. Louis, MO)"
1997,Ryan Humphrey,"Booker T. Washington (Tulsa, OK)"
1997,Britton Johnsen,"Murray (Murray, UT)"
1997,Mark Karcher,"Saint Frances Academy (Baltimore, MD)"
1997,Tracy McGrady,"Mount Zion Christian Academy (Durham, NC)"
1997,Lamar Odom,"Saint Thomas Aquinas (New Britain, CT)"
1997,Anthony Perry,"Saint Anthony's (Jersey City, NJ)"
1997,Luke Recker,"DeKalb (Waterloo, IN)"
1997,Metta World Peace,"La Salle Academy (New York, NY)"
1997,Glendon Alexander,"Newman Smith (Carollton, TX)"
1996,Corey Benjamin,"Fontana (Fontana, CA)"
1996,Mike Bibby,"Shadow Mountain (Phoenix, AZ)"
1996,Jerald Brown,"Aldine Senior (Aldine, TX)"
1996,Kobe Bryant,"Lower Merion (Ardmore, PA)"
1996,Mateen Cleaves,"Flint Northern (Flint, MI)"
1996,Jason Collier,"Catholic Central (Springfield, OH)"
1996,Ed Cota,"Saint Thomas More School (Oakdale, CT)"
1996,Willie Dersch,"Holy Cross (Flushing, NY)"
1996,Lester Earl,"Glen Oaks (Baton Rouge, LA)"
1996,Vassil Evtimov,"Long Island Lutheran (Brookville, NY)"
1996,Ronnie Fields,"Farragut Career Academy (Chicago, IL)"
1996,Richard Hamilton,"Coatesville Area (Coatesville, PA)"
1996,Charles Hathaway,"Hillwood (Nashville, TN)"
1996,Shaheen Holloway,"Saint Patrick (Elizabeth, NJ)"
1996,Stephen Jackson,"Oak Hill Academy (Mouth of Wilson, VA)"
1996,Nate James,"Saint John's Catholic Prep (Frederick, MD)"
1996,Jermaine O'Neal,"Eau Claire (Columbia, SC)"
1996,Michael Robinson,"Richwoods (Peoria, IL)"
1996,Tim Thomas,"Paterson Catholic (Paterson, NJ)"
1996,Winfred Walton,"Pershing (Detroit, MI)"
1996,Loren Woods,"Cardinal Ritter (St. Louis, MO)"
